전략,기간,CAGR(%),MDD(%),누적수익(%),KOSPI(%),Alpha(%),비용(만원),최종종목수
K1: 카스넬슨 가치투자,2016-01-01~2026-06-30,0.29,-30.7,3.09,341.77,-338.68,54.1,30
K2: 카스넬슨 + 모멘텀,2016-01-01~2026-06-30,1.55,-33.19,17.48,341.77,-324.29,62.0,30
K3: 카스넬슨 + 저변동성,2016-01-01~2026-06-30,1.11,-25.08,12.31,341.77,-329.46,55.7,30
M2: 모멘텀 + 저변동성,2016-01-01~2026-06-30,-0.97,-32.56,-9.67,341.77,-351.44,50.3,30
PBR: 멀티팩터,2016-01-01~2026-06-30,3.55,-28.16,44.17,341.77,-297.6,68.7,21
