전략,MA200,CAGR(%),누적수익(%),MDD(%),Sharpe,Sortino,시장노출기간(%)
M2,on,-0.97,-9.67,-32.56,0.05,0.07,60.7
M2,off,-8.12,-58.87,-65.97,-0.25,-0.36,99.1
K1,on,0.29,3.09,-30.7,0.11,0.16,60.7
K1,off,-0.45,-4.66,-43.77,0.1,0.16,95.5
K3,on,1.11,12.31,-25.08,0.16,0.22,60.7
K3,off,2.44,28.81,-34.72,0.23,0.37,95.5
PBR,on,3.55,44.17,-28.16,0.31,0.43,60.7
PBR,off,4.78,63.25,-54.37,0.33,0.53,99.1
