기간,전략,CAGR(%),MDD(%),누적수익(%)
2026-08-01~2026-12-31,M2,10328.43,0.0,21.03
2026-08-01~2026-12-31,K1,0.0,0.0,0.0
2026-08-01~2026-12-31,K3,0.0,0.0,0.0
2026-08-01~2026-12-31,PBR,87.64,0.0,2.62
