폴드,KOSPI 누적(%),유니버스동일가중 누적(%),PBR(on) 누적(%),PBR(off) 누적(%),PBR(on) MDD(%),PBR(off) MDD(%),시장노출기간(%)(on),종목선택알파(off−EW)(pp),MA200타이밍기여(on−off)(pp),유니버스차이(EW−KOSPI)(pp),PBR(on)−KOSPI(pp)
2016-2019,14.54,-39.65,5.93,-34.44,-11.52,-40.44,50.0,5.21,40.37,-54.19,-8.61
2019-2022,11.26,-27.62,51.01,36.36,-23.37,-48.64,40.9,63.98,14.65,-38.88,39.75
2022-2025,2.77,-45.57,2.75,24.13,-11.33,-29.04,50.0,69.7,-21.38,-48.34,-0.02
2023-2026,280.85,-23.37,5.45,65.66,-33.42,-33.57,78.4,89.03,-60.21,-304.22,-275.4
