전략,CAGR(%),누적수익(%),MDD(%),비용(만원),최종종목수,Sharpe,Sortino,Calmar,연환산_변동성(%),연도_2017,연도_2018,연도_2019,연도_2020,연도_2021,연도_2022,연도_2023,연도_2024,연도_2025,연도_2026
동일유니버스동일가중,-7.79,-57.27,-66.3,0.0,879,-0.27,-0.38,-0.13,23.69,-16.99,-15.22,-37.59,-1.51,27.67,-28.12,-35.55,-36.13,-11.47,13.42
저변동성_단독,-5.61,-45.43,-63.62,64.1,30,-0.17,-0.22,-0.1,23.16,0.79,52.25,15.91,6.15,9.64,-17.42,-19.41,-48.79,-23.26,-13.98
모멘텀_단독,-11.13,-70.99,-72.67,26.1,30,-0.35,-0.48,-0.17,27.48,-37.78,-17.61,3.06,-2.93,-29.04,-25.8,-24.61,-16.63,4.28,-14.71
M2_모멘텀저변동,-0.97,-9.67,-32.56,50.3,30,0.05,0.07,-0.03,20.33,-12.56,6.5,-2.95,12.11,-8.38,-19.3,-8.35,-14.6,3.25,26.24
K1_카스넬슨,0.29,3.09,-30.7,54.1,30,0.11,0.16,0.01,18.21,-4.97,-5.08,-11.62,-1.97,43.43,22.13,-1.53,-21.33,-13.4,3.73
K3_카스넬슨저변동,1.11,12.31,-25.08,55.7,30,0.16,0.22,0.05,16.48,-1.29,-1.43,-13.97,-2.09,30.67,14.66,2.97,-6.71,-7.4,0.3
K2_카스넬슨모멘텀,1.55,17.48,-33.19,62.0,30,0.18,0.29,0.05,18.82,4.34,16.68,-6.67,2.26,40.5,16.74,-8.26,-26.95,-9.67,4.27
PBR_멀티팩터,3.55,44.17,-28.16,68.7,21,0.31,0.43,0.14,18.21,-20.16,11.71,-6.76,21.99,86.57,17.75,-10.35,-14.01,4.13,12.94
